,HeadFront,SpineThoracic2,SpineThoracic12,LShoulderTop,RShoulderTop,WaistBack,LTrochanterMajor,LForefoot,RTrochanterMajor,RForefoot,LElbow,RElbow,LWrist,RWrist,LKnee,RKnee,LAnkle,RAnkle
0,304977.77710518736,334249.42556175945,384670.89690562885,292759.5500306053,386665.46467670175,409245.9352386069,334012.0360263409,349455.6946731565,456901.4500034679,451779.6034561289,279930.7887125566,386588.9793559534,253822.4304842778,397878.87694190064,310724.32146890205,399590.74941650627,353909.1948192453,447619.1898261826
1,-5247.13868187488,-24476.911167357146,-27048.45760557434,-11561.792002871713,-23656.745284582095,-16844.627221269046,-280.16568525892217,34528.87596259719,1469.8515594139499,33942.805501163726,15789.598783518992,11607.48547347452,33361.8853353551,38461.022483068606,19959.938421348008,40455.9279459147,19717.90245522369,20597.200559151817
2,304783.884638626,334138.1158910146,384641.3248508628,292771.31208362366,386679.6772496407,409227.14504084224,334002.44456480234,349464.68399445084,456867.13098158455,451787.5379029463,279941.7277316491,386606.05229273945,253831.51724308508,397901.82866424264,310711.72832226555,399582.32374930696,353893.45261761313,447847.99422800844
3,-5213.274297902695,-24398.358367542438,-27039.630006076906,-11541.682073855081,-23645.392221479233,-16848.283325182892,-282.03642059196136,34533.61618958899,1472.7970683038366,33939.068190148435,15797.378214789049,11615.581776200106,33369.638687290026,38471.20979789939,19956.4774682459,40455.48230482854,19719.7991918115,20538.04840541848
4,304628.9080763272,334156.4085130952,384603.38597520936,292753.8525959337,386691.60941262153,409215.0316859303,333992.772744368,349507.6917091358,456900.78690107755,451762.90309090016,279942.8566661291,386605.0401048691,253844.9425872475,397942.66952693375,310718.22987366206,399633.0067789941,353885.1294896356,448012.2354741186
5,-5202.8402334888015,-24357.01269062217,-27028.676044831074,-11513.745808392167,-23639.547187137236,-16852.48152642072,-288.1388614238458,34534.06570776801,1464.7779239129814,33935.962827486066,15801.497400691624,11623.761171243888,33370.538275544444,38478.13006694815,19948.744708356167,40453.48437271733,19718.12996975646,20489.879039864954
6,304433.2403538231,334141.12051301845,384574.19613331725,292786.3321947967,386689.4958772186,409204.70761480555,333986.14506038424,349481.2424876502,457453.12566555245,451769.2771919682,279942.4584116658,386677.640210289,253830.87900734905,397955.82370059623,310685.35346124775,399580.34034169186,353885.13667541085,447816.9853337014
7,-5207.707509504398,-24320.026030336783,-27021.157485163712,-11521.5879408974,-23634.66551465669,-16856.73065896303,-291.1344658891321,34529.33635041563,1386.3700339151437,33940.26018343142,15799.761062265126,11620.483255768639,33371.06739846405,38484.25107913114,19952.44202190009,40454.93994340705,19718.864168186647,20538.25630678507
8,304268.25478649046,334133.6579972269,384554.5897264949,292796.07491674693,386748.2237386762,409196.0969349027,333976.0996072109,349522.05711584963,457630.39610414015,451760.9334730464,279932.50084288936,386691.8028613402,253818.09232537355,397967.0997882666,310695.4413973836,399566.2138872007,353724.5962900323,447543.95649317984
9,-5244.298844922501,-24294.39492480002,-27016.28006306343,-11517.989967352289,-23647.24285245742,-16857.915313482357,-297.0117498869804,34535.418074989146,1386.4639995463767,33930.83539776031,15798.320945481442,11618.599475858704,33365.229159855626,38484.0680602431,19955.690804377322,40454.869873118834,19735.62362813224,20599.38702684406
10,304063.14573835675,334137.72572029836,384545.6134363396,292836.6762764879,386753.4798447896,409188.3518534805,333968.2623058454,349467.792059841,456840.9562260509,451803.4659909279,279915.0984865556,386716.19922531897,253792.58009060012,397975.0787452183,310665.1173938358,399579.3901743312,353873.76626035565,447872.3390352235
11,-5283.7278660273005,-24279.878442684756,-27011.403875897413,-11534.25902407938,-23647.53311224169,-16856.8146106478,-292.1088012532855,34530.67682421351,1464.8358151409884,33935.544142793784,15794.659235826686,11613.328849239024,33361.04928369852,38476.540362212014,19959.136547525617,40457.34309120478,19716.710234922604,20525.57266404607
